variable_name,actions,week
text/negative,0,2025-10-12
Object sizes/interactive/xxs-objectSize,0,2025-10-12
Object sizes/interactive/5xl-objectSize,0,2025-10-12
spacing/s,0,2025-10-12
background/:focus,0,2025-10-12
Object sizes/interactive/sm-objectSize,0,2025-10-12
border-width/l,0,2025-10-12
text/:focus,0,2025-10-12
Object sizes/default/xl-objectSize,0,2025-10-12
opacity/disabled,0,2025-10-12
text/positive,0,2025-10-12
background/default,0,2025-10-12
background/positive,0,2025-10-12
spacing/xs,0,2025-10-12
text/sale,0,2025-10-12
Object sizes/interactive/3xl-objectSize,0,2025-10-12
background/tertiary,0,2025-10-12
border-width/m,0,2025-10-12
Object sizes/default/6xl-objectSize,0,2025-10-12
background/primary,0,2025-10-12
text/inverse,0,2025-10-12
border/:pressed,0,2025-10-12
background/negative,0,2025-10-12
border/:hover,0,2025-10-12
Object sizes/default/sm-objectSize,0,2025-10-12
text/brand,0,2025-10-12
background/overlay,0,2025-10-12
spacing/3xs,0,2025-10-12
border-width/s,0,2025-10-12
text/interactive,0,2025-10-12
spacing/none,0,2025-10-12
spacing/2xl,0,2025-10-12
spacing/m,0,2025-10-12
border/positive,0,2025-10-12
Object sizes/default/2xl-objectSize,0,2025-10-12
border/interactive,0,2025-10-12
text/secondary,0,2025-10-12
spacing/l,0,2025-10-12
spacing/xl,0,2025-10-12
Object sizes/interactive/4xl-objectSize,0,2025-10-12
border-radius/none,0,2025-10-12
text/primary,0,2025-10-12
background/:pressed,0,2025-10-12
background/sale,0,2025-10-12
border-radius/l,0,2025-10-12
Object sizes/default/lg-objectSize,0,2025-10-12
background/secondary,0,2025-10-12
Object sizes/interactive/lg-objectSize,0,2025-10-12
border-radius/rounded,0,2025-10-12
border/negative,0,2025-10-12
background/:selected,0,2025-10-12
spacing/2xs,0,2025-10-12
border/secondary,0,2025-10-12
background/brand,0,2025-10-12
spacing/l,0,2025-10-05
Object sizes/default/4xl-objectSize,0,2025-10-05
border/interactive,0,2025-10-05
opacity/disabled,0,2025-10-05
border/primary,0,2025-10-05
spacing/2xl,0,2025-10-05
background/:hover,0,2025-10-05
Object sizes/default/xl-objectSize,0,2025-10-05
text/sale,0,2025-10-05
Object sizes/interactive/sm-objectSize,0,2025-10-05
border/negative,0,2025-10-05
