team_name,week,insertions,detachments
3_The Studio,2025-06-15,1319,0
2_Loyalty_Plus Points Program,2025-06-15,44,0
7. LUX,2025-06-15,24,0
1_CXP_All,2025-06-15,354,0
1_FPX,2025-06-08,3926,7
2_Plus Membership (Phasing out),2025-06-08,600,0
1_Payments Solutions (ZPS),2025-06-08,199,0
CRM_Lounge,2025-06-08,4,0
1_CXP_All,2025-06-08,657,4
1_Transactions,2025-06-08,937,0
2_Loyalty_Plus Points Program,2025-06-08,89,2
ZDS NEXT LIBRARIES,2025-06-08,464,0
<Drafts>,2025-06-08,1929,14
2_Propositions,2025-06-08,1672,1
3_Sustainability,2025-06-08,318,1
3_BD_Identity,2025-06-08,16,0
3_ZDS,2025-06-08,4421,0
3_The Studio,2025-06-08,402,0
3_Elephant Feed,2025-06-08,718,2
1_PRSB,2025-06-08,1884,2
ZMS PI&D Team,2025-06-08,210,0
3_BD_Campaign design,2025-06-08,234,0
2_Size & Fit,2025-06-08,109,0
1_Transactions,2025-06-01,15,0
2_Plus Membership (Phasing out),2025-06-01,1,0
3_The Studio,2025-06-01,583,0
Unified documentation,2025-06-01,32,0
1_PRSB,2025-06-01,3463,9
3_Elephant Feed,2025-06-01,438,0
<Drafts>,2025-06-01,2386,6
1_FPX,2025-06-01,6077,18
3_ZDS,2025-06-01,4296,6
1_Payments Solutions (ZPS),2025-06-01,51,0
2_Propositions,2025-06-01,2688,5
3_Sustainability,2025-06-01,1568,6
Partner Tech,2025-06-01,203,0
Team not visible,2025-06-01,65,0
ZMS PI&D Team,2025-06-01,418,0
2_Loyalty_Plus Points Program,2025-06-01,5,1
1_CXP_All,2025-06-01,411,0
7_ZMS Creative,2025-06-01,86,0
5. Convert,2025-06-01,10,0
ZDS NEXT LIBRARIES,2025-06-01,631,0
3_D&I,2025-06-01,65,4
2_Size & Fit,2025-06-01,21,0
3_ZDS,2025-05-25,7152,0
1_PRSB,2025-05-25,1435,5
7_ZMS Creative,2025-05-25,98,0
Team not visible,2025-05-25,706,0
3_Elephant Feed,2025-05-25,35,0
5. Convert,2025-05-25,10,0
3_BD_Identity,2025-05-25,18,1
"Partner Tech - Partner Offers, Orders, Logistics, Analytics & Steering",2025-05-25,320,0
1_Payments Solutions (ZPS),2025-05-25,427,0
<Drafts>,2025-05-25,5663,9
1_FPX,2025-05-25,3372,5
2_Loyalty_Plus Points Program,2025-05-25,28,0
1_CXP_All,2025-05-25,337,2
1_Transactions,2025-05-25,3,0
2_Size & Fit,2025-05-25,830,0
3_Sustainability,2025-05-25,91,0
2_Propositions,2025-05-25,983,0
ZDS NEXT LIBRARIES,2025-05-25,586,0
7. LUX,2025-05-25,9,0
3_The Studio,2025-05-25,390,0
3_BD_Identity,2025-05-18,20,0
3_BD_Campaign design,2025-05-18,36,0
2_Propositions,2025-05-18,1509,1
ZDS NEXT LIBRARIES,2025-05-18,257,1
3_Sustainability,2025-05-18,709,0
3_The Studio,2025-05-18,1463,4
1_CXP_All,2025-05-18,1837,1
1_Transactions,2025-05-18,137,0
1_PRSB,2025-05-18,1009,4
3_ZDS,2025-05-18,3099,0
1_FPX,2025-05-18,2774,4
<Drafts>,2025-05-18,4051,3
2_Size & Fit,2025-05-18,728,0
Team not visible,2025-05-18,58,0
1_Payments Solutions (ZPS),2025-05-18,57,0
3_Elephant Feed,2025-05-18,508,0
7. LUX,2025-05-11,3,0
3_The Studio,2025-05-11,687,0
1_CXP_All,2025-05-11,728,16
3_BD_Identity,2025-05-11,8,0
ZMS PI&D Team,2025-05-11,12,0
2_Size & Fit,2025-05-11,1583,0
ZDS NEXT LIBRARIES,2025-05-11,956,1
3_ZDS,2025-05-11,2359,0
1_PRSB,2025-05-11,699,1
1_Transactions,2025-05-11,599,0
2_Propositions,2025-05-11,618,0
Fulfillment - CuCa,2025-05-11,83,3
4. Decide,2025-05-11,108,0
<Drafts>,2025-05-11,4079,9
3_Elephant Feed,2025-05-11,2168,0
1_FPX,2025-05-11,1684,33
3_Sustainability,2025-05-11,1312,6
2_Loyalty_Plus Points Program,2025-05-11,12,0
2_Size & Fit,2025-05-04,1652,0
Unified documentation,2025-05-04,64,0
<Drafts>,2025-05-04,1937,2
ZMS PI&D Team,2025-05-04,169,0
3_BD_Performance design,2025-05-04,6,0
ZDS NEXT LIBRARIES,2025-05-04,280,2
3_Sustainability,2025-05-04,1539,14
1_CXP_All,2025-05-04,1705,0
3_The Studio,2025-05-04,333,0
3_BD_Identity,2025-05-04,22,0
3_ZDS,2025-05-04,6113,14
3_Elephant Feed,2025-05-04,7958,0
1_PRSB,2025-05-04,706,1
2_Propositions,2025-05-04,628,0
3_D&I,2025-05-04,265,0
8. CFA - Overarching,2025-05-04,28,0
1_FPX,2025-05-04,2225,11
Team not visible,2025-05-04,56,0
1_Transactions,2025-05-04,6,0
Fulfillment - CuCa,2025-05-04,21,0
2_Loyalty_Plus Points Program,2025-05-04,2,0
3_Sustainability,2025-04-27,1968,8
1_FPX,2025-04-27,3418,16
Team not visible,2025-04-27,103,0
3_ZDS,2025-04-27,6412,2
2_Size & Fit,2025-04-27,590,0
ZDS NEXT LIBRARIES,2025-04-27,437,0
1_CXP_All,2025-04-27,529,1
1_PRSB,2025-04-27,137,0
3_BD_Identity,2025-04-27,53,0
3_D&I,2025-04-27,37,0
3_The Studio,2025-04-27,224,1
3_BD_Performance design,2025-04-27,123,0
2_Loyalty_Plus Points Program,2025-04-27,92,0
2_Propositions,2025-04-27,474,2
<Drafts>,2025-04-27,1757,0
