component_name,component_set_name,week,insertions,detachments
Breakpoints=1280+,Footer,2025-12-21,2,0
"Platform=Web, Type=Standard link, State=Default, Size=Small",🚧 [DEPRECATED] Link,2025-12-21,71,0
Icon - Lock Closed,,2025-12-21,143,0
Platform=iOS,Top bar catalogue,2025-12-21,74,0
State=Default,.Breadcrumb link,2025-12-21,1,0
Icon - Jackets,,2025-12-21,27,0
"Viewport=iOS: 375+, Selected tab=Categories",Navigation bar,2025-12-21,67,0
Icon - Chevron Up,,2025-12-21,43,0
Type=5 Levels,Breadcrumbs,2025-12-21,1,0
"Platform=Web, Type=Default, Icon (Optional)=On, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,2025-12-21,2,0
"State=Default, Type=Default",🚧 [DEPRECATED] Selector,2025-12-21,2875,0
"Platform=Web, Type=Navigation link, State=Hover (web), Size=Medium",🚧 [DEPRECATED] Link,2025-12-21,135,0
Icon - Radio,,2025-12-21,46,0
"State=Default, Level=2",List - Item (Large),2025-12-21,11,0
"Platform=App, Outline=Off, State=Unmute",Icon button - Mute sound,2025-12-21,4,0
"Platform=Web, Type=Standard link, State=Default, Size=Large",🚧 [DEPRECATED] Link,2025-12-21,6,0
"Expanded=Off, State=Default, Style=Bold",Accordion (Default),2025-12-21,251,0
Icon - Share (Android),,2025-12-21,2,0
"Expanded=off, Level=Level 1, State=Default",Accordion (Large),2025-12-21,1,0
"Breakpoint=1280+ (Desktop), Size=Small, Header (Optional)=On, Title (Optional)=On, Footer (Optional)=On",Dialog (Web),2025-12-21,1,0
Icon - Hourglass Rotating,,2025-12-21,2,0
Icon - Bell (Outlined),,2025-12-21,1,0
"Left action=Back (Arrow), Action=Text action",Top bar (iOS),2025-12-21,38,0
"State=Max length, Optional=No, Message=None",Text area,2025-12-21,1,0
"Left action=Back (Arrow), Number of titles=1, Right Action=2 icons",Top bar (Android),2025-12-21,12,0
Pill,,2025-12-21,1234,0
"Platform=Web, Size=Small (40x40), Outline=No, State=Selected",Icon button - Wishlist,2025-12-21,7,0
Icon -  Add,,2025-12-21,160,0
"Type=Single/Multi-select, Lines=Single, State=Selected, With icon=Yes",🚧 [DEPRECATED] List - Controls,2025-12-21,3,0
"State=Active, Optional=No, Message=None",Text area,2025-12-21,1,0
Icon - Football,,2025-12-21,2,0
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=True, Chevron=True",List - Item (Default),2025-12-21,141,0
Icon - Price info,,2025-12-21,4,0
Pill highlight,,2025-12-21,5,0
"Platform=App, Size=Small (40x40), Outline=No, State=Deselected",Icon button - Wishlist,2025-12-21,214,0
"Platform=App, Type=Default, Icon (Optional)=On, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,2025-12-21,11,0
"Type=Color swatch, State=Selected, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-21,15,0
"On/off=Yes, State=Enabled",Switch,2025-12-21,5,0
"Platform=iOS, Type=Icon link, State=Default, Size=Large",🚧 [DEPRECATED] Link,2025-12-21,3,0
Divider (Vertical),,2025-12-21,222,0
Type=Right,Icon button - Navigation arrow,2025-12-21,175,0
"Type=Read (Static), State=Default",Rating stars,2025-12-21,114,0
Icon - Help,,2025-12-21,5,0
"States=Completed, Type=Number, Orientation=Horizontal, Text=One",🚧 [DEPRECATED] Progress Stepper,2025-12-21,12,0
Icon - Box Transit,,2025-12-21,48,0
"State=Default, Label=No, Optional=Off, Message=None, Icon=None",Text input,2025-12-21,1,0
"Platform=iOS, Type=Standard link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,2025-12-21,73,0
"Platform=App, Type=Success",Notifications,2025-12-21,5,0
"Type=Default, State=Selected",Dropdown Trigger (default),2025-12-21,6,1
Icon - Clothing,,2025-12-21,112,0
